ticker,name,url
APOLLOHOSP,Apollo Hospitals,https://www.screener.in/company/APOLLOHOSP/consolidated/
BANKBARODA,Bank of Baroda,https://www.screener.in/company/BANKBARODA/consolidated/
GROWW,Billionbrains,https://www.screener.in/company/GROWW/consolidated/
PFC,Power Fin.Corpn.,https://www.screener.in/company/PFC/consolidated/
JINDALSTEL,Jindal Steel,https://www.screener.in/company/JINDALSTEL/consolidated/
HDFCLIFE,HDFC Life Insur.,https://www.screener.in/company/HDFCLIFE/consolidated/
INDIANB,Indian Bank,https://www.screener.in/company/INDIANB/consolidated/
ENRIN,Siemens Ener.Ind,https://www.screener.in/company/ENRIN/
CANBK,Canara Bank,https://www.screener.in/company/CANBK/consolidated/
TATAPOWER,Tata Power Co.,https://www.screener.in/company/TATAPOWER/consolidated/
GAIL,GAIL (India),https://www.screener.in/company/GAIL/consolidated/
TMPV,Tata Motors PVeh,https://www.screener.in/company/TMPV/consolidated/
HDFCAMC,HDFC AMC,https://www.screener.in/company/HDFCAMC/
ZYDUSLIFE,Zydus Lifesci.,https://www.screener.in/company/ZYDUSLIFE/consolidated/
LGEINDIA,LG Electronics,https://www.screener.in/company/LGEINDIA/
CIPLA,Cipla,https://www.screener.in/company/CIPLA/consolidated/
ABCAPITAL,Aditya Birla Cap,https://www.screener.in/company/ABCAPITAL/consolidated/
HEROMOTOCO,Hero Motocorp,https://www.screener.in/company/HEROMOTOCO/consolidated/
LENSKART,Lenskart Solut.,https://www.screener.in/company/LENSKART/consolidated/
UNITDSPR,United Spirits,https://www.screener.in/company/UNITDSPR/consolidated/
IRFC,I R F C,https://www.screener.in/company/IRFC/
VEDL,Vedanta,https://www.screener.in/company/VEDL/consolidated/
GVT&D,GE Vernova T&D,https://www.screener.in/company/GVT&D/
PAYTM,One 97,https://www.screener.in/company/PAYTM/consolidated/
MARICO,Marico,https://www.screener.in/company/MARICO/consolidated/
MAZDOCK,Mazagon Dock,https://www.screener.in/company/MAZDOCK/consolidated/
ASHOKLEY,Ashok Leyland,https://www.screener.in/company/ASHOKLEY/consolidated/
GMRAIRPORT,GMR Airports,https://www.screener.in/company/GMRAIRPORT/consolidated/
AMBUJACEM,Ambuja Cements,https://www.screener.in/company/AMBUJACEM/consolidated/
LLOYDSME,Lloyds Metals,https://www.screener.in/company/LLOYDSME/consolidated/
TATACONSUM,Tata Consumer,https://www.screener.in/company/TATACONSUM/consolidated/
OFSS,Oracle Fin.Serv.,https://www.screener.in/company/OFSS/consolidated/
INDHOTEL,Indian Hotels Co,https://www.screener.in/company/INDHOTEL/consolidated/
LAURUSLABS,Laurus Labs,https://www.screener.in/company/LAURUSLABS/consolidated/
INDUSTOWER,Indus Towers,https://www.screener.in/company/INDUSTOWER/consolidated/
LUPIN,Lupin,https://www.screener.in/company/LUPIN/consolidated/
JSWENERGY,JSW Energy,https://www.screener.in/company/JSWENERGY/consolidated/
DRREDDY,Dr Reddy's Labs,https://www.screener.in/company/DRREDDY/consolidated/
MANKIND,Mankind Pharma,https://www.screener.in/company/MANKIND/consolidated/
MAXHEALTH,Max Healthcare,https://www.screener.in/company/MAXHEALTH/consolidated/
NYKAA,FSN E-Commerce,https://www.screener.in/company/NYKAA/consolidated/
BHARATFORG,Bharat Forge,https://www.screener.in/company/BHARATFORG/consolidated/
GODREJCP,Godrej Consumer,https://www.screener.in/company/GODREJCP/consolidated/
AUROPHARMA,Aurobindo Pharma,https://www.screener.in/company/AUROPHARMA/consolidated/
DIXON,Dixon Technolog.,https://www.screener.in/company/DIXON/consolidated/
SHREECEM,Shree Cement,https://www.screener.in/company/SHREECEM/consolidated/
PERSISTENT,Persistent Systems,https://www.screener.in/company/PERSISTENT/consolidated/
NAUKRI,Info Edg.(India),https://www.screener.in/company/NAUKRI/consolidated/
MCX,Multi Comm. Exc.,https://www.screener.in/company/MCX/consolidated/
FEDERALBNK,Federal Bank,https://www.screener.in/company/FEDERALBNK/consolidated/
POLICYBZR,PB Fintech.,https://www.screener.in/company/POLICYBZR/consolidated/
RECLTD,REC Ltd,https://www.screener.in/company/RECLTD/consolidated/
AUBANK,AU Small Finance,https://www.screener.in/company/AUBANK/
COFORGE,Coforge,https://www.screener.in/company/COFORGE/consolidated/
LTF,L&T Finance Ltd,https://www.screener.in/company/LTF/consolidated/
SAIL,S A I L,https://www.screener.in/company/SAIL/consolidated/
JSWINFRA,JSW Infrast,https://www.screener.in/company/JSWINFRA/consolidated/
ICICIGI,ICICI Lombard,https://www.screener.in/company/ICICIGI/
HINDPETRO,H P C L,https://www.screener.in/company/HINDPETRO/consolidated/
SWIGGY,Swiggy,https://www.screener.in/company/SWIGGY/consolidated/
HAVELLS,Havells India,https://www.screener.in/company/HAVELLS/consolidated/
BHARTIHEXA,Bharti Hexacom,https://www.screener.in/company/BHARTIHEXA/
INDUSINDBK,IndusInd Bank,https://www.screener.in/company/INDUSINDBK/consolidated/
NAM-INDIA,Nippon Life Ind.,https://www.screener.in/company/NAM-INDIA/consolidated/
NMDC,NMDC,https://www.screener.in/company/NMDC/consolidated/
NTPCGREEN,NTPC Green Ene.,https://www.screener.in/company/NTPCGREEN/consolidated/
SRF,SRF,https://www.screener.in/company/SRF/consolidated/
NHPC,NHPC Ltd,https://www.screener.in/company/NHPC/consolidated/
OIL,Oil India,https://www.screener.in/company/OIL/consolidated/
WAAREEENER,Waaree Energies,https://www.screener.in/company/WAAREEENER/consolidated/
ICICIPRULI,ICICI Pru Life,https://www.screener.in/company/ICICIPRULI/consolidated/
NATIONALUM,Natl. Aluminium,https://www.screener.in/company/NATIONALUM/consolidated/
UNOMINDA,Uno Minda,https://www.screener.in/company/UNOMINDA/consolidated/
